Id,UserId,Name,Date,Class,TagBased
83045,437,Teacher,9/15/08 8:55,3,FALSE
86080,437,Student,9/15/08 8:55,3,FALSE
89036,437,Editor,9/15/08 8:55,3,FALSE
90729,437,Organizer,9/15/08 8:55,3,FALSE
91370,437,Supporter,9/15/08 8:55,3,FALSE
93882,437,Critic,9/15/08 8:55,3,FALSE
94988,437,Citizen Patrol,9/15/08 8:55,3,FALSE
95453,437,Autobiographer,9/15/08 8:55,3,FALSE
97485,437,Scholar,9/15/08 8:55,3,FALSE
100322,437,Good Answer,9/15/08 8:55,2,FALSE
100401,437,Guru,9/15/08 8:55,2,FALSE
100574,437,Great Answer,9/15/08 8:55,1,FALSE
101200,437,Nice Answer,9/15/08 9:03,3,FALSE
101584,437,Nice Answer,9/15/08 9:04,3,FALSE
101711,437,Nice Answer,9/15/08 9:05,3,FALSE
113821,437,Civic Duty,9/18/08 12:52,2,FALSE
136190,437,Nice Answer,9/30/08 14:47,3,FALSE
136569,437,Commentator,9/30/08 20:17,3,FALSE
138460,437,Nice Answer,10/2/08 8:27,3,FALSE
143912,437,Nice Answer,10/8/08 5:52,3,FALSE
144241,437,Cleanup,10/8/08 13:47,3,FALSE
151216,437,Nice Answer,10/16/08 20:32,3,FALSE
152582,437,Disciplined,10/18/08 15:44,3,FALSE
152613,437,Peer Pressure,10/18/08 15:44,3,FALSE
162937,437,Good Answer,10/31/08 1:22,2,FALSE
172005,437,Nice Answer,11/13/08 16:27,3,FALSE
179941,437,Nice Answer,11/26/08 0:12,3,FALSE
197381,437,Nice Answer,12/25/08 7:02,3,FALSE
200202,437,Strunk & White,12/31/08 9:40,2,FALSE
211010,437,Good Answer,1/14/09 19:52,2,FALSE
215442,437,Nice Answer,1/20/09 22:27,3,FALSE
215443,437,Enlightened,1/20/09 22:27,2,FALSE
221899,437,Popular Question,1/29/09 10:42,3,FALSE
243373,437,Nice Answer,2/23/09 17:42,3,FALSE
244586,437,Nice Answer,2/24/09 22:07,3,FALSE
252774,437,Nice Answer,3/6/09 10:37,3,FALSE
285623,437,Good Answer,4/16/09 13:17,2,FALSE
316963,437,Notable Question,5/20/09 7:32,2,FALSE
317165,437,Good Answer,5/20/09 12:22,2,FALSE
325978,437,Popular Question,5/29/09 8:07,3,FALSE
329564,437,Nice Answer,6/2/09 14:17,3,FALSE
329660,437,Good Answer,6/2/09 15:27,2,FALSE
336053,437,Populist,6/9/09 0:47,1,FALSE
336146,437,Taxonomist,6/9/09 3:52,2,FALSE
351869,437,Popular Question,6/20/09 16:22,3,FALSE
356490,437,Guru,6/24/09 19:22,2,FALSE
358219,437,Enthusiast,6/26/09 5:57,2,FALSE
363674,437,Good Answer,7/1/09 0:27,2,FALSE
364197,437,Nice Answer,7/1/09 12:47,3,FALSE
367017,437,Nice Answer,7/3/09 19:27,3,FALSE
367019,437,Enlightened,7/3/09 19:27,2,FALSE
398792,437,Nice Question,7/30/09 19:32,3,FALSE
406131,437,Yearling,8/6/09 0:02,2,FALSE
411339,437,Nice Answer,8/10/09 17:52,3,FALSE
